CHAMPION	DIFFICULTY	WHAT TO DO	
Elise	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Elise has a little bit of poke damage but Tryndamere can just sustain through her damage pretty easily if she is in the solo lane. Elise will run out of mana before poking Tryndamere down. Be careful not to get baited into diving elise, her rappel is pretty good at waiting out your ulti timer under turret and kiting you. Elise doesn't have the best waveclear so when you build tiamat you can just shove her in over and over again to put pressure on her either by getting plates or looking to roam while she is farming under turret. In the mid-late game it can be difficult to dive her under turret because of rappel and the zhonyas that she will probably have so if you cant catch her outside of her turret range, then shove her in and outrotate her using your superior mobility outside of combat.	
Evelynn	INTeresting	Lethal Tempo Runes and Build. Ignite + Flash or Ghost + Flash. Long sword refillable potion start. Evelynn is honestly a pretty troll top lane pick. You can just all in her pretty easily pre-6 and she cant really stop you. If you are playing against an Evelynn jungle however here are some tips. Don't ward the river brush or tribrush, instead look to ward deep in her jungle so that you can see her while she is doing her jungle camps. In the mid-late game against an evelynn jungle you have to be really cautious about dueling your top lane opponent (unless u can 1v2 of course) just because most evelynn players try to take out the split pusher first before joining the rest of the team.	
Ezreal	Easy	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Ezreal has good poke early and is a ranged matchup so make sure you are using the lane brushes to hide your champion so he cant auto you or sit behind minions so he cant Q you to avoid damage. Only walk up to last hit minions early on. When you get a little bit of damage with tiamat, you can start taking really good short trades with ezreal (short trade = spin in auto attack + tiamat then he will probably dash away.) If you burn his E and can't follow up on him immediately, look to hit minions to reset your spin cooldown so you can spin on the ezreal before he gets his dash back up. In the mid-late game split push you will be able to 1v1 ezreal 100-0 in a turret dive as long as you have full fury to reset your spin with. Remember with your W that ezreal will turn back to face you when he q's and when he autos, so usually you will use your w when he q+ autos you then turns away to kite.	
Fiddlesticks	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start. If you want to cheese a fiddlesticks top, you can even take cleanse in this matchup to get rid of his fear and all in him. The ignite also helps however against his life drain healing. Get merc treads, or a qss later in the game to deal with his obnoxious fear. Fiddlesticks doesn't have the greatest mana pool so if you take a bad trade early, sit back and heal up and soak experience. Most of the time however you are gonna just be crushing the poor guy because he can't do enough damage to you and you out damage his heal on his drain. In the mid-late game splitpush you crush fiddlesticks in a 1v1 assuming you have tenacity or a qss, otherwise it can be hard to dive because of his fear. Remember when using your W slow that he will turn back to face you when he fears, or throws his e while trying to kite away. So use your W in between when he is casting either of those abilities.	
Fiora	Medium	Grasp Runes and use the build for lethal tempo (build early executioners in this matchup and Ninja tabi instead of zerkers). Ignite + Flash. Dorans blade start. Fiora is a tough matchup early in the game especially if the fiora takes grasp of the undying as her keystone. Look to take trades with your grasp proc up, and try to position so when you attack her she has a hard time hitting your vital so be moving constantly. If you have a bad vital early (vital is directly in front of you where fiora can easily hit it) then you can reset the vital position by walking out of fiora's range, which is pretty far but usually can reset it atleast for the first minion wave. Fiora's W when it hits you will reduce 50% of your attack speed in a 1v1 so DO NOT commit onto her with your spin she will riposte, auto attack, e to reset her auto attack, then q your vital and disengage and there isnt much you can do about it. The only time spinning into Fiora while she has her W up is if you dodge it or if shes just so low that basically one auto kills her Fiora's W however has a REALLY long cooldown (24 seconds level 1) so if she uses it and doesnt get a good trade on you, then you need to look for a spot to trade with her (usually right after she q's.)When you want to dive Fiora try to attack her and burn her W, then spin out of turret range, then reengage the dive while her W is on cooldown. When using your W just remember that she will turn her back towards you when she uses her riposte or if she wants to turn and slow you down with her e auto attack reset. Usually I will use my w when she q's away from me to disengage so that she is guaranteed facing away from me. In the mid-late game splitpush the 1v1 is pure skill on both sides. Tryndamere can hug a wall to prevent the 4 vitals from fiora's ultimate from being hit so that she doesnt get the healing, and fiora can angle to get the vitals before Tryndamere can hug a wall or fight Tryndamere when he is in the center of the lane. Usually 1v1's against Fiora will be risky unless you are ahead in items (and have your ignite available) so usually you will push her in and rotate to flank her team (fiora isnt a great teamfighter compared to tryndamere)	
Fizz	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Fizz can be annoying with his short trades early and if he gets ahead can snowball really hard against Tryndamere. The way you beat fizz is by setting up a really good all in after his playful trickster is down (his hop.) Fizz's E has a 16 second cooldown level 1, so when its down you have a lot of time to work with to get an all in. When you trade and look for an allin do not start with your spin. Start with an auto attack, that way you can save your spin to stick onto him to extend the trade and force the allin. If you get too low hp, sit back press q and soak experience. Fizz has no sustain in his kit so even if you lose on a trade, you can heal back up and he cant. In the mid-late game splitpush it can be really hard to dive fizz because of his E and zhonya, and he can duel pretty well against you because he can 1shot you to force your ultimate and then kite you. If Fizz is ahead, look to avoid him on the split push. If the game relies on you being able to beat fizz in the 1v1 to win the game at 5-6 items you can itemize into a maw of malmortius or a spirit visage for extra magic resist so he can't one shot you with his combo. You win the extended fight.	
Galio	Easy	Lethal Tempo Runes and Build. Ignite + Flash or Ghost + Flash. Long sword refillable potion start. Tryndamere is one of the best champions at forcing allins with his w slow and with his spin. Galio is an immobile champion. Every good trade will start by walking up to auto attack Galio when he goes up for a minion rather then by starting the trade by spinning in on him that way you can save your spin to stick on top of him after he disengages to extend the trade. Galio can look to disengage by knocking you up and then walking away but if you were able to save your spin or reset it before he disengages then you can stick on top of him. Tryndamere has really good sustain too so the Galio wont be able to poke you down enough with his Q. Galio can get pretty tanky in the mid-late game but usually Tryndamere with full fury and items can still 100-0 dive a Galio under turret just because he can't kite away very well. Galio does have a semi-global ultimate to help his team out so make sure that when your team is pressuring an objective that you are pressuring Galio at the same time on the split to prevent him from helping his team. (Or if Galio just leaves just get turrets/inhib)	
Gangplank	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Gangplank with grasp has a really good early game into Tryndamere. Look to farm up and sustain with your fleet, second wind, revitalize, q, and dorans shield healing until you get enough for tiamat. Once you get tiamat you can start looking for aggressive trades into him. A big part of this matchup is playing around his barrels. One really good tip I have discovered from playing this matchup a lot is that gangplank will usually put down a barrel below him to disengage from you if you spin on him, but what you can do is walk inside the barrel range to bait him to try to auto or q it, then you walk right back out before it explodes. Taking out his barrels that way or straight up just walking up and hitting it before he does can help you significantly to win this matchup. In the mid-late game splitpush beating gangplank in a 1v1 is about how well you outplay him on his barrels when you are diving him. If you aren't playing well around his barrels, you can look to use your superior mobility out of combat to roam and flank his team after shoving him into his turret on the split.	
Garen	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. The problem that a lot of people have with the garen matchup is that they do not know how to force an extended trade. What garen will do is set up his grasp and then q you. His Q is on a 8 second cooldown. Tryndamere wins the extended trades, Garen wins the short trades. Early game build up fury, and when you have a good amount of fury built up, look to auto attack him and move forward towards his escape path in between auto attacks and then spin on him after his silence is over and you can get an extra 2-3 auto attacks to win the trade. Post 6, be mindful of Garen's ultimate which is an execute based on your missing health. It has a very long cast animation though so you can usually wait to ult until you see the animation for his ult coming down. You can ult even if you are silenced so dont worry about that. Another tip for laning phase is if you w and slow the garen it will stop his passive from healing him. If you w and dont hit the slow then it will not stop his healing. In the allin vs garen, make sure that you use your w after he uses his Q because his Q will cleanse your slow. In the mid-late game if garen built tanky it can be hard to dive him under turret so look to catch him away from his turret, or if he is playing really safe then shove him in and outrotate him with your superior mobility.	
Gnar	Hard	Lethal Tempo Runes and Build. Ignite + Flash. Dorans shield start. Against gnar you can abuse his low base stats on his mini gnar in early trades before he gets his jump (usually gnars will get their jump at level 3.) So for your first trade against him you usually want to wait out his q and either dodge it while you build up fury or if it hits you wait until the slow runs out. Then spin on him and auto attack while moving towards his turret to extend the trade as much as possible. Usually can get 3-4 auto attacks if you position your spin correctly. Once gnar hits level 3 if you havent gotten enough damage on him to look for a kill then just farm. IMPORTANT NOTE: Gnar's hop is a 22 second cooldown level 1. So if he uses it, then you will have atleast a 10 second window to spin on him (assuming you made him use his hop when you used your spin at him) to get another spin and run him down. In the mid-late game splitpush it can be hard to beat gnar 1v1. Ways you can beat gnar in the mid-late game split push, either you wait until hes exhausted (just came out of mega gnar form) so that he cannot build it back up when you allin him, you can build swifty boots to help stick on top of him thru his slows, if he face checks you in a bush and you hit your w slow that can be another way to catch him out on the split and beat him 1v1. When using your w remember that he will turn back to throw his boomerang so try to time your w slow to cast after he uses boomerang + an auto attack to guarantee you will hit it.	
Gragas	Hard	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Gragas has pretty good sustain and can deny any kind of all in opportunities with his body slam which is really good disengage. Merc treads and/or tenacity on your rune page is pretty good against him because it works against his bodyslam stun. Gragas will usually build 40% CDR so his body slam will be up constantly to stun you and disengage. The way you beat gragas in laning phase is by outsustaining him (usually his mana pool) before he gets iceborn gauntlet (or another mana item) or if you can manage to land a few crits with spin damage you can maybe burst him down with ignite as well. If the Gragas is playing well, you can just play this as a farming matchup. In the mid-late game splitpush Gragas can be really annoying to dive, so just shove him in and out rotate him with your superior mobility.	
Graves	Easy	Lethal Tempo Runes and Build. Ghost + Flash or Ignite + Flash. Long sword refillable potion start. Graves doesn't have enough kiting tools to survive a straight up all in versus Tryndamere. One thing you should pay attention to though is his grit stacks. When graves dashes he gains armor which can stack up to a ridiciulous number which can make him seem very tanky. A good tip against graves in general is that graves autos don't penetrate minions so you can actually hide behind minions and avoid his auto attack damage. Once you hit level 4 thats going to be your ideal time in the early game to allin graves, so make sure that you set up your wave appropriately so that you have room in lane to run him down with your all in. With your W slow, one tip I have is using the w after he has kited out of your auto range and is out of bullets and is reloading.	
Hecarim	Medium	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. Hecarim can stack up a LOT of damage with his q, so the most important thing about taking a good trade with hecarim is going at him when he has no stacks on his q. For every stack on his q, his q cooldown gets reduced and he gets more damage. Hecarim usually doesn't take flash top lane so you can use your flash advantage along with your ignite to get early kills on him. This matchup can be difficult if you trade incorrectly with him and into his q while stacked up. Be careful about dueling him when he gets trinity force spike because he gets very strong with it. In the mid-late game you should win 1v1's against him especially when your ignite is up to cut down on his w healing. When you are pressuring him under turret make sure you get effective short trades before committing to an all in because he can kite you with his e movement speed and ultimate.	
Heimerdinger	Medium	Fleet Footwork Runes and Build. Ignite + Flash. Dorans shield start. Head to lane at the very start of the game and make sure heimer doesnt set up his turrets in lane, and also make sure he doesnt cheese your jungle buff level 1 either. Merc treads can help in this matchup or you can take tenacity on your runes If you are able to consistently take out heimer's turrets in the early game and not allow him to have 3 up at one time you can outsustain heimer's auto's and get very good early pressure on him. If you let him get his turrets down then he will be able to pressure you and shove you under turret and deny you CS. Post 6 you can look for allins on heimer however you need full fury and close to full hp to look for it, also you need to take out heimer's turrets before going after him or else he will burst you very quickly and kite around his turrets while you are ulting. Once you get about 2-3 items you can start beating heimer even when he has full turrets and cooldowns ready, still a good idea to take out his turrets early though so he doesnt have the burst of damage for after your ulti is over. In the mid-late game split push, if you don't think you can dive heimer then look to push him in and use your superior mobility to outrotate him on the map and potentially flank his team while he is holding the wave.	
Illaoi	Easy	Lethal Tempo Runes and Build. Ignite + Flash. Long sword refillable potion start. The biggest learning point in this matchup is knowing when to preemptively dodge her e (the thing that rips out your soul) and dodging tentacles. A couple of tips I have for dodging is keep your mouse cursor close to your character in laning phase (good tip in general to be honest) that way you don't have to move your mouse as much to move in a different direction to dodge an ability. Also pay attention to where illaoi could potentially use her skillshots. What I do is bait out her E (which has a 16 second cooldown level 1) by walking towards one of her tentacles and then preparing myself to move to the side the instant she throws out her E or even doing a stepback preemptively to dodge. When her E is down early you can crush illaoi. Post 6 with ignite you can beat illaoi even if she hits her E on you. As long as you dont take too much poke before you set up an all in you will crush illaoi. In the mid-late game split push she will almost always be able to burn your ulti early with her ulti but you can burst her down with ignite. Sometimes if she ults too early, you can just back off and wait until her ulti expires and then re-engage on illaoi with your ultimate advantage.	
